junction,3,R5-12-47-1_ol_81,R5-12-47-1_ol_82,R5-12-47-1_ol_80,
junction,1 end,R5-12-47-1_ol_83,,,
junction,3,R5-12-47-1_ol_80,R5-12-47-1_ol_84,R5-12-47-1_ol_86,R5-12-47-1_ol_87
junction,1 end,R5-12-47-1_ul_10,,,
junction,1 end,R5-12-47-1_ol_16,,,
,,R5-12-47-1_ol_87,,,
junction,1 end,R5-12-47-1_ul_11,,,
junction,4,R5-12-47-1_ol_135,R5-12-47-1_ol_115,R5-12-47-1_ol_134,
junction,3,R5-12-47-1_ol_94,R5-12-47-1_ol_154,,
junction,1 end,R5-12-47-1_ol_62,,,
,,R5-12-47-1_ol_154,,,
junction,1 end,R5-12-47-1_ol_61,,,
,,R5-12-47-1_ol_121,,,
junction,1 end,R5-12-47-1_ol_60,,,
junction,1 end,R5-12-47-1_ol_88,,,
,,R5-12-47-1_ol_133,,,
junction,1 end,R5-12-47-1_ol_95,,,
junction,,R5-12-47-1_ol_117,,,
junction,1 end,R5-12-47-1_ol_89,,,
,,R5-12-47-1_ol_132,,,
junction,1 end,R5-12-47-1_ol_90,,,
junction,2 end,R5-12-47-1_ol_7,,,
,,R5-12-47-1_ol_129,,,
,,R5-12-47-1_fuse_17,,,
junction,1 end,R5-12-47-1_ol_8,,,
junction,1 end,R5-12-47-1_ol_91,,,
,,R5-12-47-1_ol_104,,,
junction,3,R5-12-47-1_ol_96,R5-12-47-1_ol_170,,
junction,1 end,R5-12-47-1_ol_44,,,
junction,3 end,R5-12-47-1_ol_103,,,
,,R5-12-47-1_ol_109,,,
junction,1 end,R5-12-47-1_ol_97,,,
,,R5-12-47-1_ol_106,,,
junction,1 end,R5-12-47-1_ol_98,,,
junction,3,R5-12-47-1_ol_126,R5-12-47-1_ol_137,R5-12-47-1_ol_28,
junction,1 end,R5-12-47-1_ol_118,,,
,,R5-12-47-1_ol_189,,,
,,R5-12-47-1_ol_25,,,
junction,4 end,R5-12-47-1_ol_63,,,
junction,3,R5-12-47-1_ol_35,R5-12-47-1_ol_36,R5-12-47-1_ol_34,
,,R5-12-47-1_ol_36,,,
junction,1 end,R5-12-47-1_ol_125,,,
,,R5-12-47-1_ol_34,,,
junction,3 end,R5-12-47-1_ol_19,,,
junction,1,R5-12-47-1_ol_191,R5-12-47-1_ol_47,,
junction,,R5-12-47-1_ol_53,,,
junction,5 end,R5-12-47-1_ol_139,,,
,,R5-12-47-1_ol_57,,,
junction,2 end,R5-12-47-1_ol_143,,,
junction,4,R5-12-47-1_ol_58,R5-12-47-1_ol_147,R5-12-47-1_ol_59,
junction,1 end,R5-12-47-1_ol_9,,,
junction,1 end,R5-12-47-1_fuse_1,,,
