# file...... metervoltage_kV.csv
# date...... Fri Jul 13 08:51:09 2018
# user...... liub725
# host...... (null)
# group..... class=meter
# property.. measured_voltage_A
# limit..... 1000
# interval.. 30
# timestamp,R5-12-47-1_meter_1,R5-12-47-1_meter_2,R5-12-47-1_meter_3,R5-12-47-1_meter_4,R5-12-47-1_meter_5,R5-12-47-1_meter_6,R5-12-47-1_meter_7,R5-12-47-1_meter_8,R5-12-47-1_meter_9,R5-12-47-1_meter_10,R5-12-47-1_meter_11,R5-12-47-1_meter_12,R5-12-47-1_meter_13,R5-12-47-1_meter_14,R5-12-47-1_meter_15,R5-12-47-1_meter_16,R5-12-47-1_meter_17,R5-12-47-1_meter_18,R5-12-47-1_meter_19,R5-12-47-1_meter_20,R5-12-47-1_meter_21,R5-12-47-1_meter_22,R5-12-47-1_meter_23,R5-12-47-1_meter_24,R5-12-47-1_meter_25,R5-12-47-1_meter_26,R5-12-47-1_meter_27,R5-12-47-1_meter_28,R5-12-47-1_meter_29,R5-12-47-1_meter_30,R5-12-47-1_meter_31,R5-12-47-1_meter_32,R5-12-47-1_meter_33,R5-12-47-1_meter_34,R5-12-47-1_meter_35,R5-12-47-1_meter_36,R5-12-47-1_meter_37,R5-12-47-1_meter_38,R5-12-47-1_meter_39,R5-12-47-1_meter_40,R5-12-47-1_meter_41,R5-12-47-1_meter_42,R5-12-47-1_meter_43,R5-12-47-1_meter_44,R5-12-47-1_meter_45,R5-12-47-1_meter_46,R5-12-47-1_meter_47,R5-12-47-1_meter_48,R5-12-47-1_meter_49,meter_test
2000-01-01 00:05:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:05:30 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:06:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:06:30 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:07:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:07:30 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:08:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:08:30 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:09:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:09:30 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
2000-01-01 00:10:00 EST,269.240815,264.232223,0.000000,118.448751,272.630508,273.952290,122.234815,271.169837,273.153736,117.314124,272.134610,272.525685,119.792026,0.000000,113.905532,273.118139,121.659193,121.213810,0.000000,120.211374,121.228654,114.739693,0.000000,0.000000,0.000000,0.000000,118.781384,123.121552,122.263342,121.836845,0.000000,123.222832,121.121113,120.757417,275.733731,274.086665,265.286920,273.420925,270.272438,271.756501,273.761439,276.230929,118.170423,0.000000,122.343208,273.029887,269.153182,121.559689,8280.480926,8135.703655
